* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Raw Data]
Well	Well Position	Cycle	x1-m1	x2-m2	x3-m3	x4-m4
52	      E4	2	813,757.625	56,739.547	66,197.219	565,970.438
53	      E5	2	842,741.750	56,271.621	72,147.867	586,173.375
54	      E6	2	886,088.688	57,554.512	78,331.836	623,386.062
55	      E7	2	930,899.438	62,833.719	73,252.250	577,482.562
56	      E8	2	955,459.062	65,352.016	73,304.812	590,037.000
57	      E9	2	1,031,168.000	74,875.805	73,770.227	622,073.625
58	      E10	2	986,081.688	77,870.898	65,030.332	587,868.812
59	      E11	2	937,180.938	81,444.188	57,812.781	551,927.875
60	      E12	2	909,775.875	88,048.641	49,324.562	525,630.500
61	      F1	2	704,441.000	65,886.562	43,674.727	465,025.062
62	      F2	2	703,136.750	58,600.312	46,726.980	468,254.594
63	      F3	2	767,686.062	57,525.887	56,086.211	523,108.031
64	      F4	2	769,862.562	54,242.203	60,758.320	528,915.812
65	      F5	2	825,439.250	55,577.410	68,902.438	574,964.812
66	      F6	2	829,996.875	54,940.371	72,684.188	583,070.375
67	      F7	2	916,165.750	63,430.574	69,959.055	566,635.625
68	      F8	2	936,171.250	65,986.438	69,571.000	572,914.188
69	      F9	2	935,460.688	69,783.039	65,717.117	565,137.250
70	      F10	2	922,934.375	73,352.273	59,051.906	546,284.938
71	      F11	2	899,729.125	79,200.695	52,782.023	529,797.000
72	      F12	2	859,884.688	85,779.211	45,203.285	494,003.125
73	      G1	2	671,589.000	65,865.078	37,275.570	431,461.688
74	      G2	2	714,684.500	63,513.887	45,218.938	472,950.562
75	      G3	2	739,459.375	60,365.848	52,590.527	500,486.594
76	      G4	2	782,676.438	58,629.828	56,836.023	530,894.562
77	      G5	2	807,762.562	58,030.113	63,677.266	553,058.062
78	      G6	2	803,909.438	55,529.887	65,277.379	555,569.188
79	      G7	2	891,303.188	65,035.234	63,144.188	537,133.125
80	      G8	2	893,159.062	66,137.164	62,917.234	544,436.250
81	      G9	2	887,178.938	69,040.555	57,717.434	532,657.500
82	      G10	2	924,304.188	77,292.070	56,161.676	542,823.312
83	      G11	2	857,641.875	78,888.469	48,100.988	500,123.562
84	      G12	2	821,021.000	85,561.234	41,751.344	465,605.938
85	      H1	2	634,401.500	66,823.305	34,333.906	396,620.188
86	      H2	2	657,595.688	62,220.711	39,086.055	427,564.594
87	      H3	2	682,520.125	59,115.602	44,360.973	457,403.219
88	      H4	2	735,600.125	60,948.641	52,658.730	492,493.500
89	      H5	2	727,999.250	55,640.566	51,890.406	487,651.344
90	      H6	2	731,715.688	55,421.703	53,865.930	495,635.906
91	      H7	2	832,186.750	108,003.781	64,509.445	495,814.469
92	      H8	2	871,609.125	130,552.859	70,285.773	519,606.531
93	      H9	2	863,845.625	124,058.055	64,212.938	513,726.219
94	      H10	2	820,569.062	73,896.820	46,825.805	477,095.781
95	      H11	2	815,463.375	80,651.531	42,174.230	467,643.594
96	      H12	2	806,337.750	91,651.641	38,862.938	460,146.406
1	      A1	3	756,511.000	78,155.672	38,955.008	461,474.250
2	      A2	3	760,097.688	68,427.188	43,477.344	488,689.750
3	      A3	3	787,107.188	64,125.270	49,172.844	504,688.281
4	      A4	3	839,956.250	169,574.469	78,949.492	541,599.438
5	      A5	3	853,082.438	158,529.141	80,647.023	562,118.688
6	      A6	3	871,914.562	146,883.094	81,163.359	579,620.750
7	      A7	3	968,194.188	73,023.156	61,992.625	572,026.188
8	      A8	3	963,208.812	74,351.625	61,086.426	570,687.312
9	      A9	3	983,321.938	80,615.750	59,695.430	577,963.562
10	      A10	3	945,385.938	82,132.516	52,769.133	545,443.438
11	      A11	3	961,550.938	92,347.234	49,714.879	534,438.562
12	      A12	3	967,683.562	104,196.469	45,866.090	505,411.875
13	      B1	3	726,036.688	69,113.578	40,077.445	459,268.250
14	      B2	3	684,532.938	58,277.672	42,744.898	456,289.625
15	      B3	3	780,870.875	60,720.551	51,917.301	523,513.188
16	      B4	3	835,530.375	59,515.242	60,576.316	561,244.375
17	      B5	3	845,034.562	58,981.418	63,955.113	576,707.750
18	      B6	3	860,156.375	58,463.035	67,290.281	588,535.375
19	      B7	3	983,812.750	69,173.227	68,490.453	597,790.688
