* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:12 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC4_9_20161206.eds
* Experiment Name = ERCC4_9_20161206
* Experiment Run End Time = 2016-12-06 15:59:53 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
22	      B10	3	580,362.125	789,370.188
23	      B11	3	545,467.375	766,938.938
24	      B12	3	502,972.469	708,977.250
25	      C1	3	460,411.469	186,322.297
26	      C2	3	508,984.625	205,439.656
27	      C3	3	530,711.312	206,694.625
28	      C4	3	577,952.875	219,096.688
29	      C5	3	674,622.812	252,163.375
30	      C6	3	593,932.875	217,663.781
31	      C7	3	601,600.688	774,083.000
32	      C8	3	630,344.312	819,660.750
33	      C9	3	605,121.000	805,168.188
34	      C10	3	595,068.812	793,687.062
35	      C11	3	557,564.500	765,807.062
36	      C12	3	534,473.375	759,873.750
37	      D1	3	466,917.781	184,404.609
38	      D2	3	484,173.969	195,374.109
39	      D3	3	506,469.750	186,255.562
40	      D4	3	555,597.375	213,032.891
41	      D5	3	588,614.250	212,541.875
42	      D6	3	603,509.375	218,014.953
43	      D7	3	620,901.562	794,377.625
44	      D8	3	615,423.000	797,734.375
45	      D9	3	622,307.625	821,832.000
46	      D10	3	596,375.312	795,897.750
47	      D11	3	566,793.625	775,247.250
48	      D12	3	530,847.312	757,590.125
49	      E1	3	461,279.531	183,808.641
50	      E2	3	497,459.781	191,007.969
51	      E3	3	559,569.188	214,771.250
52	      E4	3	556,379.688	206,186.422
53	      E5	3	567,059.188	206,111.922
54	      E6	3	609,858.750	227,887.312
55	      E7	3	577,458.438	739,419.125
56	      E8	3	595,717.188	768,057.188
57	      E9	3	599,334.375	783,988.062
58	      E10	3	584,211.312	784,341.500
59	      E11	3	557,366.938	769,864.250
60	      E12	3	519,111.125	727,549.312
61	      F1	3	440,817.219	172,778.844
62	      F2	3	456,843.938	176,486.000
63	      F3	3	507,359.250	190,343.469
64	      F4	3	529,668.688	206,506.109
65	      F5	3	575,435.062	214,550.500
66	      F6	3	582,346.438	209,844.406
67	      F7	3	561,169.188	722,307.312
68	      F8	3	567,683.062	741,699.562
69	      F9	3	565,997.500	752,757.438
70	      F10	3	593,854.562	783,016.500
71	      F11	3	517,964.688	707,946.562
72	      F12	3	498,493.781	700,352.625
73	      G1	3	421,445.562	170,426.359
74	      G2	3	464,991.344	184,750.797
75	      G3	3	491,361.719	184,414.047
76	      G4	3	535,595.750	200,951.375
77	      G5	3	570,316.375	215,079.359
78	      G6	3	552,199.250	202,593.656
79	      G7	3	535,058.375	696,772.750
80	      G8	3	536,513.375	701,910.062
81	      G9	3	520,856.281	697,345.188
82	      G10	3	546,971.250	748,245.688
83	      G11	3	502,014.562	700,786.438
84	      G12	3	467,339.719	652,496.875
85	      H1	3	379,798.219	163,276.391
86	      H2	3	418,229.281	166,082.766
87	      H3	3	445,708.156	168,192.000
88	      H4	3	470,176.875	188,512.922
89	      H5	3	518,434.344	193,102.141
90	      H6	3	449,404.469	172,215.172
91	      H7	3	501,913.188	661,842.125
92	      H8	3	525,836.125	704,916.688
93	      H9	3	506,743.531	684,082.938
94	      H10	3	487,389.469	679,593.062
95	      H11	3	474,872.844	665,369.375
96	      H12	3	438,300.625	624,185.438
1	      A1	4	472,630.688	212,874.703
2	      A2	4	492,113.500	211,060.219
3	      A3	4	509,290.125	212,374.734
4	      A4	4	545,546.375	230,206.484
5	      A5	4	548,468.750	226,359.469
6	      A6	4	582,975.250	230,593.906
7	      A7	4	607,476.250	828,532.938
8	      A8	4	566,896.250	778,812.562
9	      A9	4	576,491.125	797,400.062
10	      A10	4	543,739.938	774,032.688
11	      A11	4	539,190.875	830,294.000
12	      A12	4	499,027.625	752,081.500
13	      B1	4	451,427.594	188,858.344
14	      B2	4	463,736.625	182,524.797
15	      B3	4	522,112.844	202,706.891
16	      B4	4	560,826.812	214,787.453
17	      B5	4	555,796.875	208,152.594
18	      B6	4	581,293.125	218,308.859
19	      B7	4	592,161.562	778,535.188
20	      B8	4	611,167.312	807,139.875
21	      B9	4	595,230.750	798,053.000
22	      B10	4	580,743.625	792,944.750
23	      B11	4	545,854.125	770,619.875
24	      B12	4	501,951.688	709,236.375
25	      C1	4	460,023.250	186,322.781
26	      C2	4	504,082.406	205,476.969
27	      C3	4	531,365.750	207,912.406
28	      C4	4	577,167.250	221,155.750
29	      C5	4	675,822.750	254,483.703
30	      C6	4	595,204.688	221,409.266
31	      C7	4	601,031.875	775,162.250
32	      C8	4	630,760.250	824,983.062
33	      C9	4	604,606.375	808,678.250
34	      C10	4	594,623.188	794,867.250
35	      C11	4	558,090.938	770,761.688
36	      C12	4	533,076.750	760,197.750
37	      D1	4	467,130.469	185,482.844
38	      D2	4	485,372.000	197,123.672
39	      D3	4	507,842.594	187,310.406
40	      D4	4	556,903.438	214,889.156
41	      D5	4	589,219.312	214,296.625
42	      D6	4	605,414.812	220,184.219
43	      D7	4	622,217.500	800,313.062
44	      D8	4	616,333.375	802,869.188
45	      D9	4	623,383.938	828,068.438
46	      D10	4	597,686.750	801,846.625
47	      D11	4	566,772.438	778,479.062
48	      D12	4	528,112.062	756,538.312
49	      E1	4	461,480.062	185,460.812
50	      E2	4	499,176.344	191,751.156
51	      E3	4	559,726.500	215,733.375
52	      E4	4	557,056.125	208,502.078
53	      E5	4	568,705.438	208,497.984
54	      E6	4	611,224.250	230,924.453
55	      E7	4	578,810.938	745,700.938
56	      E8	4	597,332.125	772,170.750
57	      E9	4	600,695.375	787,814.250
58	      E10	4	584,689.438	788,399.688
59	      E11	4	558,105.250	774,355.375
60	      E12	4	517,150.562	726,539.125
61	      F1	4	440,723.188	174,659.984
62	      F2	4	457,900.250	178,539.891
63	      F3	4	508,148.062	191,305.562
64	      F4	4	531,002.688	211,595.781
65	      F5	4	575,371.062	220,147.969
66	      F6	4	583,508.750	214,616.781
67	      F7	4	562,929.188	726,537.062
68	      F8	4	568,612.250	746,568.688
69	      F9	4	565,954.688	753,965.875
70	      F10	4	594,225.312	786,968.000
71	      F11	4	518,120.125	709,882.438
72	      F12	4	496,725.969	700,407.812
73	      G1	4	421,368.562	171,255.359
74	      G2	4	466,171.094	185,336.266
75	      G3	4	491,715.500	185,666.609
76	      G4	4	536,140.438	203,755.922
77	      G5	4	570,316.812	218,136.656
78	      G6	4	553,117.438	205,421.641
79	      G7	4	535,463.375	699,187.562
80	      G8	4	536,671.000	705,312.000
81	      G9	4	521,723.812	700,239.875
82	      G10	4	546,929.812	750,621.750
83	      G11	4	498,149.438	700,249.438
84	      G12	4	465,877.281	651,250.625
85	      H1	4	379,005.594	163,998.750
86	      H2	4	419,031.656	167,675.797
87	      H3	4	444,450.344	167,902.391
88	      H4	4	469,649.938	193,368.453
89	      H5	4	518,263.594	197,782.609
90	      H6	4	450,247.094	176,131.453
91	      H7	4	503,017.812	665,359.312
92	      H8	4	525,349.062	707,472.938
93	      H9	4	505,960.812	685,470.062
94	      H10	4	487,245.438	681,829.688
95	      H11	4	474,454.969	667,363.375
96	      H12	4	437,304.469	625,224.938
1	      A1	5	473,142.094	215,258.047
2	      A2	5	492,542.000	212,851.297
3	      A3	5	509,660.375	214,209.859
4	      A4	5	545,739.750	238,317.984
5	      A5	5	548,934.000	234,916.078
6	      A6	5	582,933.250	241,589.328
7	      A7	5	607,695.375	842,616.500
8	      A8	5	567,322.938	805,516.375
9	      A9	5	576,665.312	815,193.500
10	      A10	5	543,601.812	792,030.625
11	      A11	5	539,032.750	886,899.375
12	      A12	5	497,026.094	760,660.688
13	      B1	5	452,234.094	189,166.234
14	      B2	5	464,267.000	183,550.766
15	      B3	5	523,430.000	204,105.500
16	      B4	5	561,549.562	217,648.297
17	      B5	5	556,169.188	210,490.578
18	      B6	5	582,296.688	221,016.484
19	      B7	5	592,967.250	781,807.625
20	      B8	5	611,105.938	811,397.625
21	      B9	5	596,027.438	803,538.938
22	      B10	5	580,631.500	796,047.938
23	      B11	5	545,854.562	774,649.250
24	      B12	5	501,156.719	710,318.312
25	      C1	5	460,137.594	186,374.391
26	      C2	5	502,993.625	205,238.172
27	      C3	5	531,931.375	209,711.656
28	      C4	5	578,204.312	224,961.719
29	      C5	5	676,262.312	257,698.438
30	      C6	5	596,399.312	226,788.375
31	      C7	5	602,267.188	778,889.000
32	      C8	5	631,180.188	828,809.125
33	      C9	5	602,010.438	809,031.250
34	      C10	5	595,639.938	798,814.312
35	      C11	5	559,506.188	774,833.250
36	      C12	5	532,777.250	761,625.812
37	      D1	5	467,130.125	186,424.531
38	      D2	5	486,163.031	197,729.297
39	      D3	5	508,730.625	188,646.375
40	      D4	5	557,938.750	218,889.328
41	      D5	5	589,573.375	218,182.156
42	      D6	5	606,653.500	224,738.312
43	      D7	5	622,905.312	804,202.000
44	      D8	5	617,221.250	807,095.688
45	      D9	5	624,174.188	832,149.062
46	      D10	5	598,757.688	806,038.438
47	      D11	5	567,298.500	782,228.250
48	      D12	5	527,281.688	756,354.625
49	      E1	5	461,525.562	186,878.781
50	      E2	5	500,688.344	193,330.844
51	      E3	5	560,178.875	217,098.719
52	      E4	5	558,107.312	212,683.438
53	      E5	5	569,102.938	212,704.312
54	      E6	5	612,212.250	234,526.047
55	      E7	5	579,570.812	749,120.375
56	      E8	5	598,020.312	775,499.625
57	      E9	5	601,466.188	791,698.438
58	      E10	5	586,366.562	792,830.125
59	      E11	5	558,690.375	778,240.562
60	      E12	5	516,297.188	726,386.875
61	      F1	5	440,655.594	175,323.703
62	      F2	5	458,456.969	179,220.766
63	      F3	5	508,584.562	192,547.625
64	      F4	5	531,778.875	221,983.922
65	      F5	5	575,318.938	228,710.875
66	      F6	5	584,660.625	220,904.062
67	      F7	5	564,209.500	730,240.375
68	      F8	5	569,750.312	749,572.938
69	      F9	5	567,376.188	757,314.938
70	      F10	5	594,193.188	789,927.812
71	      F11	5	517,743.719	712,608.688
72	      F12	5	495,614.125	700,571.375
73	      G1	5	421,405.938	172,309.766
74	      G2	5	466,947.406	185,941.109
75	      G3	5	492,302.719	186,141.016
76	      G4	5	536,783.875	209,862.141
77	      G5	5	570,042.000	224,174.781
78	      G6	5	553,854.625	211,248.203
79	      G7	5	535,465.562	702,317.750
80	      G8	5	536,791.938	708,196.688
81	      G9	5	522,384.219	702,681.438
82	      G10	5	547,358.000	753,290.812
83	      G11	5	494,251.125	698,621.812
84	      G12	5	464,631.125	650,615.125
85	      H1	5	378,397.031	164,219.969
86	      H2	5	419,716.000	168,737.359
87	      H3	5	445,570.719	168,192.094
88	      H4	5	470,576.750	202,113.266
89	      H5	5	518,545.469	205,865.359
90	      H6	5	450,798.312	182,182.406
91	      H7	5	503,579.781	668,428.688
92	      H8	5	525,070.125	709,150.938
93	      H9	5	505,666.719	686,260.688
94	      H10	5	487,058.281	683,839.562
95	      H11	5	474,582.969	669,080.812
96	      H12	5	435,841.969	624,756.875
1	      A1	6	473,701.844	220,917.797
2	      A2	6	493,327.688	216,728.047
3	      A3	6	509,785.938	218,054.875
4	      A4	6	546,376.938	254,424.969
5	      A5	6	549,325.000	251,406.562
6	      A6	6	582,550.125	264,544.250
7	      A7	6	608,354.000	866,785.062
8	      A8	6	567,682.500	855,323.312
9	      A9	6	577,434.500	848,419.500
10	      A10	6	543,605.938	823,061.188
11	      A11	6	538,710.500	988,844.062
12	      A12	6	493,938.031	779,461.312
13	      B1	6	452,279.156	189,622.359
14	      B2	6	464,322.625	184,877.062
15	      B3	6	523,877.500	205,263.828
16	      B4	6	562,191.375	221,040.109
17	      B5	6	556,385.812	214,433.656
18	      B6	6	583,207.625	226,881.250
19	      B7	6	593,120.062	787,146.312
20	      B8	6	611,077.375	817,117.062
21	      B9	6	596,948.062	809,382.688
22	      B10	6	577,699.375	799,498.625
23	      B11	6	545,841.562	780,669.625
24	      B12	6	500,562.156	711,913.312
25	      C1	6	460,565.562	187,786.500
26	      C2	6	504,047.875	205,332.953
27	      C3	6	532,513.312	210,880.984
28	      C4	6	579,248.562	232,214.609
29	      C5	6	677,301.688	263,370.531
30	      C6	6	597,340.938	235,221.375
31	      C7	6	603,363.438	782,359.062
32	      C8	6	631,568.500	830,518.375
33	      C9	6	601,356.688	809,042.812
34	      C10	6	595,981.938	803,181.188
35	      C11	6	560,499.562	779,898.125
36	      C12	6	532,820.938	763,081.938
37	      D1	6	467,373.906	187,405.016
38	      D2	6	487,118.219	198,574.203
39	      D3	6	509,181.625	190,307.125
40	      D4	6	558,748.312	225,531.250
41	      D5	6	590,178.688	223,003.797
42	      D6	6	607,952.188	230,483.453
43	      D7	6	624,099.125	807,569.750
44	      D8	6	617,916.375	811,750.125
