* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 10:36:32 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P2_20161208.eds
* Experiment Name = Nate_QDNA_P2_20161208
* Experiment Run End Time = 2016-12-08 16:33:54 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
5	A5	13	Target 1	256,531.938	105,953.367
5	A5	14	Target 1	358,912.438	207,844.172
5	A5	15	Target 1	553,319.562	401,761.594
5	A5	16	Target 1	920,870.000	768,822.375
5	A5	17	Target 1	1,594,601.250	1,442,063.875
5	A5	18	Target 1	2,776,238.000	2,623,211.000
5	A5	19	Target 1	4,700,864.000	4,547,347.500
5	A5	20	Target 1	7,488,278.500	7,334,272.000
5	A5	21	Target 1	10,854,669.000	10,700,173.000
5	A5	22	Target 1	14,112,825.000	13,957,839.000
5	A5	23	Target 1	16,471,408.000	16,315,932.000
5	A5	24	Target 1	17,652,020.000	17,496,054.000
5	A5	25	Target 1	18,089,720.000	17,933,266.000
5	A5	26	Target 1	18,363,282.000	18,206,338.000
5	A5	27	Target 1	18,632,948.000	18,475,514.000
5	A5	28	Target 1	18,872,040.000	18,714,116.000
5	A5	29	Target 1	19,059,620.000	18,901,206.000
5	A5	30	Target 1	19,191,140.000	19,032,236.000
5	A5	31	Target 1	19,291,638.000	19,132,244.000
5	A5	32	Target 1	19,357,072.000	19,197,190.000
5	A5	33	Target 1	19,386,572.000	19,226,200.000
5	A5	34	Target 1	19,414,714.000	19,253,852.000
5	A5	35	Target 1	19,443,390.000	19,282,038.000
5	A5	36	Target 1	19,448,742.000	19,286,900.000
5	A5	37	Target 1	19,461,496.000	19,299,164.000
5	A5	38	Target 1	19,476,200.000	19,313,380.000
5	A5	39	Target 1	19,472,286.000	19,308,976.000
5	A5	40	Target 1	19,463,690.000	19,299,890.000
6	A6	1	Target 1	195,161.438	4,332.638
6	A6	2	Target 1	194,358.891	3,261.750
6	A6	3	Target 1	192,353.969	988.487
6	A6	4	Target 1	191,007.156	-626.666
6	A6	5	Target 1	190,981.781	-920.381
6	A6	6	Target 1	191,937.312	-233.191
6	A6	7	Target 1	193,230.594	791.750
6	A6	8	Target 1	198,360.766	5,653.581
6	A6	9	Target 1	209,392.375	16,416.850
6	A6	10	Target 1	232,544.969	39,301.102
6	A6	11	Target 1	280,856.375	87,344.172
6	A6	12	Target 1	373,167.375	179,386.828
6	A6	13	Target 1	549,928.312	355,879.438
6	A6	14	Target 1	885,601.625	691,284.375
6	A6	15	Target 1	1,505,658.250	1,311,072.625
6	A6	16	Target 1	2,606,763.750	2,411,909.750
6	A6	17	Target 1	4,428,093.500	4,232,971.000
6	A6	18	Target 1	7,113,696.500	6,918,306.000
6	A6	19	Target 1	10,421,513.000	10,225,854.000
6	A6	20	Target 1	13,662,223.000	13,466,296.000
6	A6	21	Target 1	16,049,983.000	15,853,787.000
6	A6	22	Target 1	17,300,128.000	17,103,664.000
6	A6	23	Target 1	17,805,498.000	17,608,766.000
6	A6	24	Target 1	18,092,774.000	17,895,774.000
6	A6	25	Target 1	18,365,832.000	18,168,564.000
6	A6	26	Target 1	18,622,718.000	18,425,180.000
6	A6	27	Target 1	18,833,872.000	18,636,066.000
6	A6	28	Target 1	18,972,390.000	18,774,316.000
6	A6	29	Target 1	19,067,992.000	18,869,650.000
6	A6	30	Target 1	19,124,362.000	18,925,752.000
6	A6	31	Target 1	19,161,466.000	18,962,586.000
6	A6	32	Target 1	19,177,318.000	18,978,170.000
6	A6	33	Target 1	19,170,570.000	18,971,154.000
6	A6	34	Target 1	19,162,112.000	18,962,428.000
6	A6	35	Target 1	19,132,316.000	18,932,364.000
6	A6	36	Target 1	19,102,282.000	18,902,062.000
6	A6	37	Target 1	19,082,354.000	18,881,864.000
6	A6	38	Target 1	19,058,564.000	18,857,806.000
6	A6	39	Target 1	19,018,528.000	18,817,502.000
6	A6	40	Target 1	18,998,206.000	18,796,912.000
7	A7	1	Target 1	162,840.750	316.674
7	A7	2	Target 1	163,147.797	132.714
7	A7	3	Target 1	163,563.156	57.068
7	A7	4	Target 1	164,719.750	722.655
7	A7	5	Target 1	164,247.969	-240.132
7	A7	6	Target 1	164,216.328	-762.779
7	A7	7	Target 1	165,256.156	-213.957
7	A7	8	Target 1	165,682.219	-278.901
7	A7	9	Target 1	167,168.172	716.046
7	A7	10	Target 1	170,321.562	3,378.431
7	A7	11	Target 1	173,671.859	6,237.722
7	A7	12	Target 1	181,089.953	13,164.810
7	A7	13	Target 1	197,183.094	28,766.943
7	A7	14	Target 1	227,303.094	58,395.938
7	A7	15	Target 1	284,405.094	115,006.930
7	A7	16	Target 1	393,703.219	223,814.047
7	A7	17	Target 1	602,142.500	431,762.312
7	A7	18	Target 1	994,901.312	824,030.125
7	A7	19	Target 1	1,713,542.250	1,542,180.125
7	A7	20	Target 1	2,965,733.750	2,793,880.500
7	A7	21	Target 1	4,991,948.500	4,819,604.500
7	A7	22	Target 1	7,904,905.000	7,732,070.000
7	A7	23	Target 1	11,378,442.000	11,205,116.000
7	A7	24	Target 1	14,676,676.000	14,502,859.000
7	A7	25	Target 1	17,109,990.000	16,935,682.000
7	A7	26	Target 1	18,456,396.000	18,281,596.000
7	A7	27	Target 1	19,073,830.000	18,898,540.000
7	A7	28	Target 1	19,442,730.000	19,266,948.000
7	A7	29	Target 1	19,765,686.000	19,589,414.000
7	A7	30	Target 1	20,043,272.000	19,866,508.000
7	A7	31	Target 1	20,282,200.000	20,104,946.000
7	A7	32	Target 1	20,464,790.000	20,287,044.000
7	A7	33	Target 1	20,588,992.000	20,410,756.000
7	A7	34	Target 1	20,674,966.000	20,496,238.000
7	A7	35	Target 1	20,721,468.000	20,542,250.000
7	A7	36	Target 1	20,741,156.000	20,561,446.000
7	A7	37	Target 1	20,744,956.000	20,564,756.000
7	A7	38	Target 1	20,755,930.000	20,575,238.000
7	A7	39	Target 1	20,747,586.000	20,566,404.000
7	A7	40	Target 1	20,732,984.000	20,551,310.000
8	A8	1	Target 1	142,847.078	5,777.032
8	A8	2	Target 1	142,962.719	4,866.185
8	A8	3	Target 1	144,125.641	5,002.620
8	A8	4	Target 1	144,293.266	4,143.758
8	A8	5	Target 1	144,575.047	3,399.052
8	A8	6	Target 1	146,238.750	4,036.269
8	A8	7	Target 1	146,497.562	3,268.594
8	A8	8	Target 1	145,348.859	1,093.404
8	A8	9	Target 1	145,161.234	-120.708
8	A8	10	Target 1	145,884.484	-423.945
8	A8	11	Target 1	145,468.641	-1,866.276
8	A8	12	Target 1	145,230.703	-3,130.700
8	A8	13	Target 1	145,498.484	-3,889.406
8	A8	14	Target 1	145,976.734	-4,437.643
8	A8	15	Target 1	145,940.438	-5,500.427
8	A8	16	Target 1	146,205.672	-6,261.680
8	A8	17	Target 1	147,533.625	-5,960.213
8	A8	18	Target 1	148,677.844	-5,842.481
8	A8	19	Target 1	151,213.750	-4,333.062
8	A8	20	Target 1	154,660.312	-1,912.987
8	A8	21	Target 1	157,119.344	-480.443
